cell_line_name,run_accession,tissue,disease,disease_primary,disease_secondary,disease_stage,age_at_sampling,sex,ethnicity,genomewide,promoter,cgi,cpg_shore,cpg_shelf,methylation_canyon,exon,intron,gene_body,LINE,SINE,LTR
TE 617.T,SRR8633416,soft_tissue,rhabdomyosarcoma,rhabdomyosarcoma,,primary,1.67,female,Caucasian,0.443824,0.104904,0.197011,0.536271,0.726072,0.151745,0.395476,0.485882,0.461359,0.594361,0.687055,0.628461
TE-5,SRR8633417,oesophagus,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,73.0,female,Asian,0.554663,0.159346,0.27282,0.645718,0.823312,0.235859,0.485321,0.583648,0.557745,0.743982,0.804771,0.774344
TE-4,SRR8633418,oesophagus,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,,,Asian,0.491421,0.155298,0.27398,0.56865,0.720067,0.261829,0.451919,0.516186,0.500226,0.673791,0.731806,0.711548
TE 441.T,SRR8633419,soft_tissue,rhabdomyosarcoma,rhabdomyosarcoma,,primary,14.0,female,African_american,0.545655,0.17711,0.293126,0.647797,0.830481,0.23556,0.492898,0.576757,0.555116,0.713718,0.781488,0.723948
TE-1,SRR8633420,oesophagus,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,,male,Asian,0.575638,0.191756,0.309081,0.650063,0.850982,0.299592,0.521793,0.603539,0.58338,0.749429,0.804578,0.74905
SUP-T11,SRR8633421,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (peripheral_T_cell_lymphoma_unspecified),lymphoid_neoplasm ,peripheral_T_cell_lymphoma_unspecified,primary,74.0,male,Caucasian,0.438887,0.098697,0.1742,0.48723,0.693395,0.126064,0.388927,0.471326,0.450171,0.634938,0.707831,0.654256
TF-1,SRR8633422,haematopoietic_and_lymphoid_tissue,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M6)",haematopoietic_neoplasm ,"acute_myeloid_leukaemia, M6",primary,35.0,male,Asian,0.426804,0.158215,0.266258,0.50199,0.663841,0.236783,0.438403,0.458339,0.457679,0.521673,0.634355,0.538752
ONS-76,SRR8633423,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma,primitive_neuroectodermal_tumour-medulloblastoma,,primary,2.0,female,Asian,0.346694,0.106663,0.198618,0.415215,0.530386,0.150506,0.364752,0.382293,0.381501,0.43622,0.54956,0.460139
NCI-N87,SRR8633424,stomach,carcinoma,carcinoma,,metastasis,,male,African_american,0.508851,0.183975,0.286814,0.570117,0.726767,0.269426,0.467566,0.521822,0.510191,0.652107,0.689376,0.6977
HCC1569,SRR8633425,breast,carcinoma (metaplastic_carcinoma),carcinoma ,metaplastic_carcinoma,primary,70.0,female,African_american,0.483564,0.141998,0.256931,0.580961,0.764037,0.226672,0.450163,0.513046,0.498144,0.65181,0.735134,0.681102
HCC-1588,SRR8633426,lung,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,63.0,female,Caucasian,0.337777,0.0771181,0.154722,0.422181,0.572188,0.115061,0.314112,0.372529,0.357248,0.465585,0.557225,0.473697
HCC1599,SRR8633427,breast,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,primary,44.0,female,Caucasian,0.495714,0.128893,0.237893,0.599783,0.785882,0.20179,0.436353,0.521234,0.498166,0.740866,0.786849,0.774803
HCC-15,SRR8633428,lung,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,47.0,male,African_american,0.425592,0.0931084,0.18075,0.521903,0.705093,0.14544,0.386096,0.460841,0.441667,0.607141,0.681294,0.6229
HCC1419,SRR8633429,breast,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,primary,42.0,female,Caucasian,0.445512,0.137206,0.229224,0.528558,0.69077,0.195958,0.420918,0.479428,0.46604,0.568577,0.675882,0.590474
HCC1428,SRR8633430,breast,carcinoma,carcinoma,,metastasis,49.0,female,Caucasian,0.475388,0.125991,0.225913,0.587465,0.785694,0.189232,0.427489,0.505941,0.485482,0.674007,0.761542,0.706476
HCC-1438,SRR8633431,lung,carcinoma (large_cell_carcinoma),carcinoma ,large_cell_carcinoma,primary,43.0,male,African_american,0.474381,0.125754,0.232596,0.579817,0.759699,0.188581,0.431627,0.506594,0.487137,0.672264,0.741132,0.705924
HCC1500,SRR8633432,breast,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,primary,32.0,female,African_american,0.434771,0.146801,0.233997,0.51411,0.689876,0.205761,0.418824,0.469958,0.458418,0.606682,0.685572,0.636651
HCC1806,SRR8633433,breast,"carcinoma (ductal_carcinoma, squamous_cell_carcinoma)",carcinoma ,"ductal_carcinoma, squamous_cell_carcinoma",primary,60.0,female,African_american,0.420319,0.0862352,0.171605,0.5165,0.701227,0.128062,0.391958,0.473885,0.452465,0.581539,0.674417,0.594897
HCC-1833,SRR8633434,lung,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,69.0,female,African_american,0.412698,0.105992,0.193331,0.499529,0.704425,0.163728,0.360542,0.442982,0.419565,0.665311,0.747756,0.700056
SK-N-MC,SRR8633435,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,,metastasis,14.0,female,Caucasian,0.448124,0.118487,0.201922,0.544065,0.697393,0.150153,0.392435,0.478327,0.454723,0.651519,0.743033,0.696729
SK-N-SH,SRR8633436,autonomic_ganglia,neuroblastoma,neuroblastoma,,metastasis,4.0,female,Caucasian,0.451127,0.0909161,0.172143,0.544961,0.747161,0.100778,0.397862,0.500399,0.472119,0.652758,0.713135,0.649426
SNU-175,SRR8633437,large_intestine,carcinoma,carcinoma,,primary,56.0,female,Asian,0.394447,0.103452,0.186157,0.454818,0.599762,0.151769,0.361535,0.420765,0.405645,0.584386,0.65623,0.639111
RCM-1,SRR8633438,large_intestine,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,73.0,female,Asian,0.393177,0.136348,0.229299,0.456226,0.603751,0.198534,0.405285,0.434522,0.430147,0.472263,0.579377,0.465834
RD-ES,SRR8633439,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,,primary,19.0,male,Caucasian,0.408569,0.0608424,0.122644,0.458289,0.699333,0.0672169,0.338068,0.450133,0.419201,0.628533,0.718089,0.640704
SNU-182,SRR8633440,liver,carcinoma (hepatocellular_carcinoma),carcinoma ,hepatocellular_carcinoma,primary,24.0,male,Asian,0.490951,0.114489,0.213312,0.614188,0.802292,0.18423,0.421835,0.527024,0.497856,0.690763,0.768517,0.701739
PK-59,SRR8633441,pancreas,carcinoma,carcinoma,,primary,,,Asian,0.504854,0.183986,0.28888,0.562828,0.729957,0.264479,0.479151,0.528591,0.518524,0.658531,0.734797,0.688657
PL-21,SRR8633442,haematopoietic_and_lymphoid_tissue,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M3)",haematopoietic_neoplasm ,"acute_myeloid_leukaemia, M3",primary,24.0,male,Asian,0.594421,0.255612,0.359704,0.619859,0.778112,0.370106,0.537033,0.610282,0.59332,0.763927,0.790715,0.777653
PLC/PRF/5,SRR8633443,liver,carcinoma (hepatocellular_carcinoma),carcinoma ,hepatocellular_carcinoma,primary,24.0,male,African_american,0.335772,0.0852887,0.161384,0.449901,0.605649,0.110469,0.334597,0.385238,0.372792,0.434888,0.551918,0.414463
PSN1,SRR8633444,pancreas,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,primary,,,Asian,0.463968,0.132758,0.234852,0.542788,0.727007,0.217241,0.437986,0.501152,0.486508,0.615383,0.692821,0.628779
QGP-1,SRR8633445,pancreas,carcinoma,carcinoma,,primary,61.0,male,Asian,0.497101,0.12791,0.229056,0.555703,0.744569,0.210255,0.431441,0.5345,0.50693,0.694847,0.764509,0.716614
Raji,SRR8633446,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (Burkitt_lymphoma),lymphoid_neoplasm ,Burkitt_lymphoma,primary,12.0,male,African_american,0.641784,0.338273,0.446682,0.694992,0.828484,0.454603,0.599357,0.651222,0.640273,0.806567,0.839428,0.836645
RCC10RGB,SRR8633447,kidney,carcinoma (renal_cell_carcinoma),carcinoma ,renal_cell_carcinoma,primary,,male,Asian,0.501547,0.104909,0.198651,0.591033,0.81259,0.159646,0.421933,0.528781,0.498899,0.803843,0.839187,0.838683
RCH-ACV,SRR8633448,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia),lymphoid_neoplasm ,acute_lymphoblastic_B_cell_leukaemia,primary,8.0,female,Caucasian,0.524436,0.15814,0.239802,0.571473,0.755688,0.200166,0.453171,0.534873,0.514084,0.803433,0.839835,0.84157
Hs 683,SRR8633449,central_nervous_system,glioma,glioma,,primary,76.0,male,Caucasian,0.31068,0.0725437,0.128162,0.370478,0.512667,0.0932802,0.293351,0.350986,0.337173,0.420254,0.505227,0.427755
Hs 675.T,SRR8633450,large_intestine,carcinoma,carcinoma,,primary,,male,Caucasian,0.390463,0.0550951,0.110986,0.47233,0.684864,0.0474623,0.334654,0.438007,0.409232,0.622529,0.721908,0.634292
Hs 695T,SRR8633451,skin,malignant_melanoma,malignant_melanoma,,metastasis,26.0,male,Caucasian,0.536889,0.148439,0.248945,0.621292,0.807696,0.22083,0.459346,0.569267,0.539396,0.75265,0.818893,0.757776
Hs 688(A).T,SRR8633452,skin,malignant_melanoma,malignant_melanoma,,primary,69.0,male,Caucasian,0.386656,0.0572901,0.116128,0.467468,0.670909,0.0569688,0.328738,0.42556,0.398748,0.631913,0.711464,0.662703
Hs 706.T,SRR8633453,bone,giant_cell_tumour,giant_cell_tumour,,primary,16.0,female,Caucasian,0.338364,0.0949607,0.169948,0.439367,0.571063,0.159292,0.335895,0.383769,0.372319,0.465278,0.563669,0.451164
Hs 698.T,SRR8633454,large_intestine,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,metastasis,70.0,male,Caucasian,0.419394,0.0715817,0.135076,0.512393,0.729095,0.0819655,0.352517,0.459125,0.42898,0.683665,0.767632,0.703046
Hs 746T,SRR8633455,stomach,carcinoma,carcinoma,,metastasis,74.0,male,Caucasian,0.507362,0.198507,0.305394,0.600871,0.755523,0.293444,0.501704,0.544372,0.536745,0.631569,0.722754,0.641564
Hs 729,SRR8633456,soft_tissue,rhabdomyosarcoma,rhabdomyosarcoma,,primary,74.0,male,Caucasian,0.408302,0.0842354,0.161786,0.489797,0.671838,0.117876,0.368596,0.451074,0.428868,0.629144,0.718585,0.635059
Hs 766T,SRR8633457,pancreas,carcinoma (ductal_carcinoma),carcinoma ,ductal_carcinoma,metastasis,46.0,male,Caucasian,0.377824,0.112499,0.205413,0.423402,0.573522,0.17607,0.390103,0.41751,0.413988,0.473135,0.579765,0.474345
Hs 751.T,SRR8633458,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (Hodgkin_lymphoma),lymphoid_neoplasm ,Hodgkin_lymphoma,primary,,,Caucasian,0.360831,0.0526549,0.109817,0.455458,0.647256,0.0532081,0.319148,0.403327,0.380178,0.586905,0.680945,0.608437
KM-H2,SRR8633459,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (Hodgkin_lymphoma),lymphoid_neoplasm ,Hodgkin_lymphoma,metastasis,37.0,male,Asian,0.462558,0.292723,0.404595,0.522526,0.587681,0.392848,0.510303,0.484215,0.498081,0.460107,0.568518,0.507017
KMM-1,SRR8633460,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (plasma_cell_myeloma),lymphoid_neoplasm ,plasma_cell_myeloma,primary,62.0,male,Asian,0.449114,0.262584,0.362102,0.512243,0.606304,0.360706,0.500947,0.481996,0.493564,0.490236,0.587441,0.495317
KMRC-1,SRR8633461,kidney,carcinoma (clear_cell_renal_cell_carcinoma),carcinoma ,clear_cell_renal_cell_carcinoma,primary,,male,Asian,0.479556,0.111564,0.208165,0.570385,0.769123,0.158794,0.422918,0.512063,0.488064,0.731848,0.791669,0.769325
KMRC-20,SRR8633462,kidney,carcinoma (renal_cell_carcinoma),carcinoma ,renal_cell_carcinoma,primary,,,Asian,0.454231,0.141857,0.229508,0.526181,0.687556,0.19598,0.426391,0.487067,0.47301,0.619616,0.696344,0.654898
KMRC-2,SRR8633463,kidney,carcinoma (clear_cell_renal_cell_carcinoma),carcinoma ,clear_cell_renal_cell_carcinoma,primary,,male,Asian,0.56699,0.178787,0.28436,0.640904,0.827425,0.250447,0.489537,0.589426,0.563029,0.809347,0.841493,0.833598
KMRC-3,SRR8633464,kidney,carcinoma (clear_cell_renal_cell_carcinoma),carcinoma ,clear_cell_renal_cell_carcinoma,primary,,male,Asian,0.539377,0.144277,0.247304,0.639923,0.839822,0.213597,0.45059,0.558821,0.528365,0.823171,0.853918,0.859296
NCI-H1092,SRR8633465,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,67.0,male,Caucasian,0.455615,0.0850407,0.167697,0.524382,0.7057,0.121982,0.386861,0.501059,0.469388,0.665818,0.739826,0.686646
NCI-H1048,SRR8633466,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,,female,African_american,0.41727,0.0794568,0.140766,0.474995,0.686958,0.112677,0.35931,0.45624,0.430334,0.636336,0.686101,0.651038
NALM-6,SRR8633467,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia),lymphoid_neoplasm ,acute_lymphoblastic_B_cell_leukaemia,primary,19.0,male,Caucasian,0.610947,0.293556,0.399834,0.667896,0.800578,0.399864,0.561665,0.611474,0.601582,0.824199,0.863362,0.858845
NALM-1,SRR8633468,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia),haematopoietic_neoplasm ,blast_phase_chronic_myeloid_leukaemia,primary,3.0,female,African_american,0.612989,0.267647,0.369893,0.667462,0.839401,0.347261,0.554222,0.622005,0.606297,0.837563,0.875528,0.862414
NALM-19,SRR8633469,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia),lymphoid_neoplasm ,acute_lymphoblastic_B_cell_leukaemia,primary,26.0,male,Asian,0.638888,0.285788,0.386566,0.682238,0.848109,0.372903,0.575263,0.648887,0.631637,0.858137,0.880798,0.881974
MV-4-11,SRR8633470,haematopoietic_and_lymphoid_tissue,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M5)",haematopoietic_neoplasm ,"acute_myeloid_leukaemia, M5",primary,10.0,male,Caucasian,0.572246,0.156099,0.23779,0.558674,0.747245,0.21105,0.503198,0.611895,0.588451,0.721376,0.744121,0.699251
NCC-StC-K140,SRR8633471,stomach,carcinoma,carcinoma,,primary,36.0,female,Asian,0.495394,0.1484,0.244137,0.599386,0.770235,0.216166,0.459627,0.536668,0.517272,0.675453,0.762394,0.685243
NB-4,SRR8633472,haematopoietic_and_lymphoid_tissue,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M3)",haematopoietic_neoplasm ,"acute_myeloid_leukaemia, M3",primary,23.0,female,Caucasian,0.600552,0.238967,0.334233,0.655715,0.824866,0.320122,0.533873,0.622479,0.600348,0.792331,0.841897,0.807962
NB-1,SRR8633473,autonomic_ganglia,neuroblastoma,neuroblastoma,,metastasis,2.0,male,Asian,0.45454,0.128813,0.225917,0.52082,0.687141,0.175245,0.418673,0.49156,0.472818,0.642676,0.724938,0.666554
NAMALWA,SRR8633474,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (Burkitt_lymphoma),lymphoid_neoplasm ,Burkitt_lymphoma,primary,3.0,female,African_american,0.591077,0.284291,0.388885,0.643312,0.789925,0.375886,0.558608,0.602045,0.593812,0.774674,0.814406,0.805528
COLO 792,SRR8633475,skin,malignant_melanoma,malignant_melanoma,,metastasis,62.0,male,Caucasian,0.436789,0.113859,0.200901,0.489896,0.647057,0.161277,0.389162,0.455391,0.438736,0.669054,0.73552,0.727012
COLO-800,SRR8633476,skin,malignant_melanoma,malignant_melanoma,,primary,14.0,male,Caucasian,0.383998,0.0952864,0.174455,0.453685,0.609639,0.125093,0.362657,0.422411,0.407956,0.532108,0.634321,0.539014
COLO 829,SRR8633477,skin,malignant_melanoma,malignant_melanoma,,primary,45.0,male,Caucasian,0.408364,0.10463,0.186427,0.517346,0.68409,0.151371,0.383347,0.452735,0.434885,0.564472,0.680945,0.565477
COR-L105,SRR8633478,lung,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,,male,Caucasian,0.440357,0.157931,0.257866,0.572747,0.725325,0.232553,0.442556,0.481283,0.473956,0.539087,0.620835,0.525589
COR-L23,SRR8633479,lung,carcinoma (large_cell_carcinoma),carcinoma ,large_cell_carcinoma,metastasis,62.0,male,Caucasian,0.476516,0.177669,0.279742,0.541524,0.69942,0.262634,0.470186,0.512829,0.504773,0.602379,0.705909,0.632931
COR-L24,SRR8633480,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,primary,71.0,male,Caucasian,0.495767,0.083797,0.17421,0.596488,0.817535,0.127395,0.395444,0.533346,0.493559,0.756449,0.809978,0.773322
COR-L279,SRR8633481,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,63.0,male,Caucasian,0.450147,0.0880742,0.168184,0.491931,0.68739,0.135827,0.398041,0.500371,0.47378,0.661791,0.743949,0.68237
COR-L311,SRR8633482,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,primary,63.0,male,Caucasian,0.345149,0.0539396,0.11218,0.365016,0.52606,0.0650416,0.293337,0.389246,0.362743,0.521101,0.611181,0.531014
COR-L47,SRR8633483,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,primary,67.0,male,Caucasian,0.440682,0.116891,0.205295,0.516017,0.699806,0.176579,0.398389,0.474966,0.455956,0.624961,0.693336,0.637986
COR-L88,SRR8633484,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,primary,55.0,male,Caucasian,0.427349,0.103003,0.187829,0.477029,0.644358,0.162316,0.390864,0.47329,0.452261,0.618749,0.710611,0.629398
HSC-3,SRR8633485,upper_aerodigestive_tract,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,metastasis,64.0,male,Asian,0.484694,0.156024,0.25089,0.569128,0.731316,0.227537,0.454424,0.520843,0.50532,0.64051,0.72232,0.649032
HSC-2,SRR8633486,upper_aerodigestive_tract,carcinoma (squamous_cell_carcinoma),carcinoma ,squamous_cell_carcinoma,primary,69.0,male,Asian,0.505537,0.185194,0.296795,0.595885,0.731837,0.272486,0.485521,0.536794,0.526001,0.638603,0.714395,0.668237
HT-144,SRR8633487,skin,malignant_melanoma,malignant_melanoma,,metastasis,29.0,male,Caucasian,0.401304,0.125186,0.214197,0.508797,0.636669,0.18535,0.396857,0.445051,0.434625,0.495673,0.583093,0.488963
HT-1376,SRR8633488,urinary_tract,carcinoma (transitional_cell_carcinoma),carcinoma ,transitional_cell_carcinoma,primary,58.0,female,Caucasian,0.239277,0.0664854,0.116321,0.29777,0.442474,0.0931523,0.263687,0.289964,0.285742,0.292742,0.373088,0.256679
HT-1197,SRR8633489,urinary_tract,carcinoma,carcinoma,,primary,44.0,male,Caucasian,0.304092,0.0920174,0.154398,0.389555,0.516539,0.127395,0.320808,0.355069,0.348642,0.340177,0.410291,0.312708
HT115,SRR8633490,large_intestine,carcinoma,carcinoma,,primary,,,Caucasian,0.477641,0.159368,0.261648,0.526238,0.695251,0.234384,0.453767,0.504048,0.493444,0.63813,0.710528,0.671063
SNU-C5,SRR8633491,large_intestine,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,77.0,female,Asian,0.525895,0.229879,0.343366,0.572576,0.707595,0.332039,0.512443,0.539889,0.536889,0.67558,0.721131,0.715852
TYK-nu,SRR8633492,ovary,carcinoma (undifferentiated_carcinoma),carcinoma ,undifferentiated_carcinoma,primary,,female,Asian,0.60548,0.316572,0.434475,0.690345,0.820197,0.431269,0.576548,0.619802,0.611725,0.720511,0.790552,0.764152
NCI-H526,SRR8633493,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,55.0,male,Caucasian,0.423432,0.0688482,0.136061,0.454985,0.664561,0.0944801,0.351468,0.466383,0.434512,0.640068,0.729012,0.637223
NCI-H596,SRR8633494,lung,carcinoma (mixed_adenosquamous_carcinoma),carcinoma ,mixed_adenosquamous_carcinoma,primary,73.0,male,Caucasian,0.486134,0.134867,0.240896,0.58399,0.756021,0.226554,0.449274,0.517918,0.501428,0.677735,0.736095,0.694463
NCI-H647,SRR8633495,lung,carcinoma (mixed_adenosquamous_carcinoma),carcinoma ,mixed_adenosquamous_carcinoma,metastasis,56.0,male,Caucasian,0.365538,0.0816979,0.163425,0.436396,0.591082,0.130443,0.370498,0.413117,0.404526,0.502508,0.596424,0.515266
NCI-H650,SRR8633496,lung,carcinoma (bronchioloalveolar_adenocarcinoma),carcinoma ,bronchioloalveolar_adenocarcinoma,metastasis,,male,Caucasian,0.457671,0.173652,0.278365,0.545225,0.711407,0.27385,0.458634,0.487432,0.483817,0.586411,0.674881,0.62076
NCI-H508,SRR8633497,large_intestine,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,metastasis,55.0,male,Caucasian,0.453371,0.160107,0.255329,0.495133,0.64079,0.24096,0.433154,0.48199,0.471695,0.596823,0.661346,0.619502
NCI-H510,SRR8633498,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,primary,56.0,male,Caucasian,0.39688,0.0702389,0.147781,0.455722,0.642928,0.099164,0.350421,0.438697,0.414137,0.624334,0.703888,0.645887
NCI-H522,SRR8633499,lung,carcinoma (non_small_cell_carcinoma),carcinoma ,non_small_cell_carcinoma,primary,60.0,male,Caucasian,0.413805,0.0907034,0.1773,0.489654,0.663042,0.10961,0.378607,0.457803,0.437519,0.514238,0.620509,0.529758
NCI-H524,SRR8633500,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,63.0,male,Caucasian,0.473078,0.0809277,0.152714,0.539929,0.76566,0.0961596,0.382158,0.508663,0.473199,0.751572,0.793311,0.774952
NOMO-1,SRR8633501,haematopoietic_and_lymphoid_tissue,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M5)",haematopoietic_neoplasm ,"acute_myeloid_leukaemia, M5",primary,31.0,female,Asian,0.497512,0.139453,0.225582,0.551713,0.743775,0.186183,0.439629,0.529546,0.506322,0.695187,0.737421,0.724262
NMC-G1,SRR8633502,central_nervous_system,glioma,glioma,,primary,,,Asian,0.431254,0.0971519,0.17365,0.539047,0.722659,0.118345,0.393863,0.466366,0.448046,0.645548,0.731261,0.659564
NIH:OVCAR-3,SRR8633503,ovary,carcinoma,carcinoma,,metastasis,60.0,female,Caucasian,0.465012,0.0913594,0.170694,0.556012,0.77204,0.127845,0.404091,0.505704,0.477932,0.7235,0.766203,0.737667
NH-6,SRR8633504,autonomic_ganglia,neuroblastoma,neuroblastoma,,primary,0.75,female,Asian,0.443793,0.103847,0.184451,0.505208,0.698144,0.145585,0.397341,0.482953,0.460871,0.631454,0.709692,0.64135
NCI-H660,SRR8633505,prostate,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,63.0,male,Caucasian,0.482636,0.128048,0.221569,0.568115,0.754351,0.190175,0.434495,0.536746,0.50934,0.654722,0.73694,0.636794
NCI-H661,SRR8633506,lung,carcinoma (large_cell_carcinoma),carcinoma ,large_cell_carcinoma,metastasis,43.0,male,Caucasian,0.440343,0.0980412,0.190198,0.574357,0.78086,0.122508,0.404512,0.489454,0.46607,0.585203,0.693713,0.577831
NCI-H929,SRR8633507,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (plasma_cell_myeloma),lymphoid_neoplasm ,plasma_cell_myeloma,metastasis,62.0,female,Caucasian,0.364317,0.123659,0.207412,0.460369,0.576202,0.184746,0.372645,0.408252,0.401337,0.42136,0.491738,0.409974
NCI-H889,SRR8633508,lung,carcinoma (small_cell_carcinoma),carcinoma ,small_cell_carcinoma,metastasis,69.0,female,Caucasian,0.425904,0.121547,0.199039,0.497703,0.649233,0.166497,0.380304,0.473418,0.447537,0.620545,0.672548,0.63221
SK-MEL-24,SRR8633509,skin,malignant_melanoma,malignant_melanoma,,metastasis,67.0,male,Caucasian,0.34289,0.0849335,0.157409,0.432734,0.557272,0.121061,0.328576,0.377179,0.365718,0.482341,0.570123,0.514481
ONCO-DG-1,SRR8633510,ovary,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,metastasis,60.0,female,Caucasian,0.391685,0.0791142,0.144355,0.469978,0.668971,0.10277,0.336876,0.429723,0.404589,0.611803,0.688419,0.624971
SK-MEL-1,SRR8633511,skin,malignant_melanoma,malignant_melanoma,,metastasis,29.0,male,Caucasian,0.359485,0.0909892,0.171459,0.430587,0.55721,0.138478,0.348068,0.396944,0.385679,0.500847,0.620404,0.536361
SK-MEL-2,SRR8633512,skin,malignant_melanoma,malignant_melanoma,,metastasis,60.0,male,Caucasian,0.315787,0.0892062,0.161622,0.421626,0.539423,0.121971,0.327775,0.368037,0.358967,0.393765,0.496049,0.379053
SK-MEL-28,SRR8633513,skin,malignant_melanoma,malignant_melanoma,,primary,51.0,male,Caucasian,0.451307,0.170587,0.272934,0.516205,0.649105,0.245633,0.438367,0.479074,0.47144,0.578068,0.662766,0.608469
SK-LMS-1,SRR8633514,soft_tissue,sarcoma,sarcoma,,primary,43.0,female,Caucasian,0.470766,0.157008,0.261554,0.507646,0.676994,0.216773,0.431749,0.497914,0.481739,0.608921,0.66824,0.642669
SK-HEP-1,SRR8633515,liver,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,metastasis,52.0,male,Caucasian,0.441696,0.114613,0.217806,0.559078,0.744152,0.195722,0.418688,0.483137,0.467384,0.594623,0.685586,0.612943
OS-RC-2,SRR8633516,kidney,carcinoma (renal_cell_carcinoma),carcinoma ,renal_cell_carcinoma,primary,,male,Asian,0.406036,0.134778,0.226341,0.486846,0.643698,0.188703,0.41019,0.443388,0.43799,0.530085,0.627272,0.532339
SKM-1,SRR8633517,haematopoietic_and_lymphoid_tissue,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M5)",haematopoietic_neoplasm ,"acute_myeloid_leukaemia, M5",primary,76.0,male,Asian,0.586407,0.173518,0.277591,0.649275,0.840337,0.243812,0.503761,0.613291,0.584871,0.818002,0.842881,0.837107
OPM-2,SRR8633518,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (plasma_cell_myeloma),lymphoid_neoplasm ,plasma_cell_myeloma,primary,56.0,female,Asian,0.338433,0.17424,0.249223,0.373184,0.44166,0.223295,0.371875,0.375831,0.378285,0.384778,0.484,0.392417
SK-LU-1,SRR8633519,lung,carcinoma (adenocarcinoma),carcinoma ,adenocarcinoma,primary,60.0,female,Caucasian,0.504488,0.163867,0.272088,0.626286,0.798086,0.253884,0.463028,0.534368,0.516431,0.700329,0.745376,0.727906
SUP-M2,SRR8633520,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm (anaplastic_large_cell_lymphoma),lymphoid_neoplasm ,anaplastic_large_cell_lymphoma,metastasis,5.0,female,Caucasian,0.463386,0.252324,0.353302,0.537795,0.629936,0.340424,0.491423,0.485245,0.492743,0.503184,0.596911,0.542793
